Date,Text,Link(s),Media URL(s),Title,Label(s),Alt text(s),Comment(s),"Board, Album, or Category",Post Subtype,CTA,Reminder
2026/05/26 10:00,"9 days to go. Here is what is waiting for you at this year's festival.

Around 200 real ales, ciders, perries and meads will be on the bar across the three days, sourced from breweries and producers across the country. Every drink is hand-selected by the volunteers at CAMRA North Hertfordshire, who put months of work into building a range that covers familiar favourites and harder-to-find styles. If you want to try something new, this is a good place to start.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-9.png,,countdown-fb,Pink hedgehog countdown graphic with the text '9 DAYS LEFT' above the festival logo.,,,,,
2026/05/27 10:00,"8 days to go. If you are a CAMRA or Hitchin Rugby Club member, your ticket is free.

New for 2026, members of CAMRA and members of Hitchin Rugby Club get free entry across all three days of the festival. If your membership card is sitting in your wallet, now is the time to use it. For everyone else, advance tickets are available online and are the easiest way to come through the gates without queuing at the door.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-8.png,,countdown-fb,Pink hedgehog countdown graphic with the text '8 DAYS LEFT' above the festival logo.,,,,,
2026/05/28 10:00,"7 days to go: one week until the Hitchin Beer & Cider Festival 2026.

The festival runs across three days at Hitchin Rugby Club, each with its own rhythm. Thursday evening opens at 5pm, ideal for those coming after work. Friday and Saturday both open at midday, giving you a full afternoon and evening to work through the bar at your own pace. Last orders on Saturday are at 10pm. Plan your sessions, or just turn up and see where the day takes you.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
Thursday 5pm-11pm | Friday 12pm-11pm | Saturday 12pm-10pm
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-7.png,,countdown-fb,Pink hedgehog countdown graphic with the text '7 DAYS LEFT' above the festival logo.,,,,,
2026/05/29 10:00,"6 days to go, and cider is very much on the menu this year.

Alongside the real ale bars, the dedicated Cider Bar will be running throughout the festival with a selection of real ciders, perries and meads. If cider is your drink of choice, or if you have never tried a proper perry, this is a fine place to be introduced. The range is chosen with the same care as the ale list, covering traditional styles and producers from across the country.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-6.png,,countdown-fb,Pink hedgehog countdown graphic with the text '6 DAYS LEFT' above the festival logo.,,,,,
2026/05/30 10:00,"5 days to go. The Hitchin Beer & Cider Festival 2026 is almost here.

If you have not been before, here is what to expect. Entry gets you a festival glass and a starter set of tokens to use at the bar. Additional token cards are available throughout the festival, and any unused tokens, along with your glass, can be refunded on exit. There is plenty of room to sit, stand and explore, and the atmosphere at Hitchin Rugby Club is relaxed and friendly. The festival is run entirely by volunteers from CAMRA North Hertfordshire, so there is a real community spirit to the whole weekend.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-5.png,,countdown-fb,Pink hedgehog countdown graphic with the text '5 DAYS LEFT' above the festival logo.,,,,,
2026/05/31 10:00,"4 days to go. The International Beer Bar is one not to overlook.

Alongside the cask ale bars and the Cider Bar, the International Beer Bar brings a different dimension to the festival, with bottled and keg beers from further afield, for those who want to range a little wider. It is a good complement to the real ale range and gives the festival a breadth that suits all tastes. Whether you come for the cask or the international bar, there is a full day's worth of exploring to be done.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-4.png,,countdown-fb,Pink hedgehog countdown graphic with the text '4 DAYS LEFT' above the festival logo.,,,,,
2026/06/01 10:00,"3 days to go until the Hitchin Beer & Cider Festival 2026.

The festival is organised entirely by volunteers, members of CAMRA North Hertfordshire and Hitchin Rugby Club who give their time to make three days of great beer happen in the heart of Hitchin. From selecting the drinks list to running the bars, everything you see on the day is the result of months of volunteer effort. If you have ever thought about getting involved, keep an eye out for future volunteering calls.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent #VolunteerLed #CAMRAVolunteers

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-3.png,,countdown-fb,Pink hedgehog countdown graphic with the text '3 DAYS LEFT' above the festival logo.,,,,,
2026/06/02 10:00,"2 days to go. The Hitchin Beer & Cider Festival 2026 opens on Thursday.

Doors open at 5pm on Thursday 4th June, a perfect evening session after work. Friday and Saturday open at midday. If you are travelling to Hitchin Rugby Club, the ground is at King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL. There is parking on site, and Hitchin town centre and train station are both a short distance away. Advance tickets save you time at the door.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-2.png,,countdown-fb,Pink hedgehog countdown graphic with the text '2 DAYS LEFT' above the festival logo.,,,,,
2026/06/03 10:00,"Tomorrow it begins. The festival opens at 5pm at Hitchin Rugby Club.

Thursday evening, 5pm to 11pm. Around 200 real ales, ciders, perries and meads on the bar, a friendly crowd, and a venue that knows how to host a good event. Advance tickets are still available if you have not picked yours up yet. CAMRA and Hitchin Rugby Club members, remember your membership card for free entry.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-1.png,,countdown-fb,Pink hedgehog countdown graphic with the text '1 DAY LEFT' above the festival logo.,,,,,
2026/06/04 09:00,"It begins tonight. The Hitchin Beer & Cider Festival 2026 opens at 5pm.

Three days of real ale, real cider, perry, mead and more, all at Hitchin Rugby Club. Around 200 drinks across the bar. Doors open at 5pm tonight, midday on Friday, midday on Saturday, with last orders at 10pm on the final day. Bring your CAMRA or Hitchin Rugby Club membership card for free entry. Otherwise, advance tickets are available online or at the gate. See you there.

Advance tickets are on sale now:
https://hitchinbeerciderfestival.org.uk/

4th to 6th June 2026
King George V Playing Fields, Old Hale Way, Hitchin, SG5 1XL

#HitchinBeerFestival #HBCF2026 #RealAle #RealCider #CAMRA #Hitchin #NorthHerts #Hertfordshire #SupportLocal #CommunityEvent

In partnership with CAMRA North Hertfordshire and Hitchin Rugby Club.",,https://raw.githubusercontent.com/Hitchin-Beer-Cider-Festival/Social/main/countdown/countdown-launch.png,,countdown-fb,Pink hedgehog launch-day graphic with the text 'OPENS TODAY' above the festival logo.,,,,,
